주제,내용,길이
박창근의 개요,대한민국의 가수로 TV CHOSUN의 오디션 프로그램 내일은 국민가수에 출연하며 최종 우승하였다.,35
박창근의 생애,"10대 시절을 산울림의 음악에 푹 빠져 지내고[5] 대학교 1학년 수업 중에 듣게 된 정태춘의 '아 대한민국'에 깊은 감명을 받아 처음으로 노래를 시작한다. 대구대학교 노래패에 소속되어 활동하다가, 음악보다 의식을 앞세우는 당시 노래패의 분위기에 고민하던 어느 날 홍보 문구[6]에 이끌려 우연히 찾아간 공연장에서 보게 된 김광석에게 큰 영향을 받는다. 이후 대구지역 대학가를 중심으로 음악 활동을 하였고, 군 제대 후 가수의 길을 걷기로 결심한다. 97년 '우리 여기에 박창근'이란 이름으로 첫 솔로 활동을 시작하였다.",
박창근의 음반목록,"1999년-정규 1집-Anti Mythos,
2002년-참여앨범-아야 (?也)[1],
2005년-정규 2집-살아가는 모든 이들에게 기회를...[2],
2011년-정규 3집,무지개 내린 날개위의 순간,
2013년-EP-None Grunge,
2015년-정규 4집-바람의 기억,
2015년-4집 리패키지-바람의 기억[3],
2016년-참여앨범-듀엣 앨범[4][5],
2017년-싱글-춤추는 공허,
2018년-싱글-흔들리는 봄 5.2,
2018년-싱글-우린 어디로 가는 걸까요?,
2019년-싱글-깊게 더 깊게,
2019년-싱글-나에게,
2020년-싱글-2020 이야기,
2022년-베스트-박창근 BEST 20,
2022년-EP-Re:born,
2022년-싱글-어린아이",
박창근의 활동,"대구 '김광석 다시부르기 경연대회' 심사위원
법정스님의 뜻을 잇는 시민모임 <맑고 향기롭게> 홍보대사
서울교통방송 TBS라디오 <임진모의 마이웨이> 비정기적 출연 중
BBS 서울 불교방송 라디오 최고의 하루 수요일코너 <가수 박창근의 이 노래 어때요?> 출연 중
BBS <자용스님의 최고의 하루> 로고송 작곡
BBS <신동윤의 음악이 흐르는 풍경> 로고송 작곡
TBS <임진모의 마이웨이> 로고송 작곡
TBS <노정열의 주말이 좋다> 로고송 작곡
그 외 KBS TV 사랑의 리퀘스트, 대구 MBC 라디오 정오의 희망곡, PBC 평화방송 TV, Radio, 원음방송, YTN, TBN, CBS 등의 프로그램 출연",
박창근의 여담,"가장 좋아하는 과자와 라면은 우리밀 과자, 우리밀 라면이라고 한다.
공식 앨범을 발표한 이래 23년의 세월 동안 인디 가수로 활동하면서 소수의 매니아들만이 박창근의 음악을 향유했으나, 2021년 내일은 국민가수 출연 이후 대중에게 알려지며 전과 비교해서 폭발적인 인기를 얻게 되었다.
내일은 국민가수에 출연 신청을 하게 된 계기에 대해, 우선 아들의 TV 출연을 바라셨던 77세의 노모에게 선물을 하고 싶었고 본인 스스로도 새로운 도전을 하고 싶었다고 밝혔다.
상당히 동안이다. 전문적인 관리를 전혀 받지 않고 살아왔음에도 2021년 기준 한국 나이 50세라는 사실이 믿기 힘들 정도로 어려보이는 외모를 갖고 있다. 노래하는 목소리 또한 나이에 비해 굉장한 미성의 스타일임을 볼 때 유전적으로 타고난 특징으로 생각된다. 이러한 특징 때문에 이선희가 떠오른다는 평이 많다. 이선희 역시 굉장한 동안에 맑은 미성으로 이미 유명하기 때문.
대구 영신고등학교(35회)와 대구대학교 독어독문학과(91학번)를 졸업했다.",
박창근의 취미,"음악 외의 주된 관심사는 러닝 관련 용품이라고 한다.
취미는 독서와 영화 감상. 기타를 쥐고 있는 시간 외에는 주로 도서관으로 향하며 내일은 국민가수 방송 대기 중에도 읽을 정도로 책을 가까이 한다. 문학과 비문학을 가리지 않고 다양한 장르의 책을 읽는다.
아이패드 Procreate 앱으로 그림을 종종 그린다. 머릿속의 이미지를 표현하기도 하고 영화에서 본 장면을 따라 그리기도 한다.",
박창근의 팬카페,"박창근의 팬카페는 네이버 카페로 '박창근팬카페포그니'이다. 박창근 가수님의 오래전부터 어려운 이웃을 위해 자선활동을 해오고 있기에 팬카페 포그니에서는 그의 선한 영향력이 계속 이어지기를 바라는 마음으로 대구를 비롯해 전국 각 지역에서 포그니들의 자발적인 봉사활동을 하고 있다. 특히 2022년 부터 꾸준히 해오던 해양정화활동 봉사를 본격적으로 하기위해 1365자원봉사포털에 자원봉사교육을 수료하고 2023년 2월19일 자원봉사단체로 등록되었으며 '박창근팬카페포그니'가 첫 반려해변으로 당진 용무치항, 마섬포구를 입양했다.입양 후 3월 21일(화)첫 활동에 포그니 100명이 참석하여 각종 해양쓰레기를 청소하였으며 정기적으로 반려해변 정화활동을 하고 있다. 팬들의 적극적인 참여로 2023년 5월에 2차로 입양한 곳은 전남 보성 율포해수욕장, 인천 실미도해수욕장과 6월에는 전남 보성 명교해변을 3차로 입양하여 '바다는 포그니가 지킨다'는 캐치프레이드를 걸고 우리나라 해양정화활동에 앞장서고 있다. 반려해변은 미국에서 개발한 해변 입양프로그램으로 우리나라에서 벤치마킹하여 2021년 부터 특정 해변을 기업 또는 단체가 자신의 반려동물처럼 아끼고 사랑하자는 취지로 시작했다. 입양기간은 2년으로 이 기간중 환경정화활동을 연3회 실시하고, 환경보호캠페인 1회실시하는 사업이다. 박창근 가수의 선한영향력을 널리 전파하는 팬카페 포그니가 미래세대가 함께 누릴 수 있는 아름다운 지구, 바다를 만들기 위해 사회적 책임을 실천하는 모습이 오래도록 이어지기를 바란다.",
박창근의 철학,"박창근의 철학은 '살면서 지구에 최소한의 피해를 입히고 가자.'이다. 그의 노래 미발표곡(2006.6.) '줄리아' 중에서~그녀를 언젠가 만난다면 오래된 삼나무 아래앉아 함께 별을 헤고 싶다. 우리가 상상하는 세상을 밤별들과 밤하늘과 잠의 달빛 아래서고 나누고 나누고 싶다. - 책 '나무위의 여자'는 한 나무와 한 여자의 깊은 우정과 사랑, 그리고 삼나무 숲을 구하기 위하 길고도 아름다운 여정의 기록이라고 소개하고 있다. 주인공 이름이 줄리아로 삼림 파괴와 고대로부터 살아온 삼나무숲을 목재 회사로부터 지키기위해 나무위에 2년동안 판자집을 짓고 살면서 저항하며 결국 소중한것을 지켜낸것에 대한 의미를 노래에 담고 있다.",
박창근의 수상이력,"2021년 12월 23일-내일은 국민가수-우승,
2022년3월 31일-제28회 대한민국 연예예술상-포크 싱어상,
2023년4월 21일-제29회 대한민국 연예예술상-포크 싱어상",
박창근 국민가수 예선,"예선1차는 무명부로 출연하여 김광석의 '그날들'을 선곡했으며 원곡 가수와 비슷한 음악 스타일과 목소리 등에 호평을 받으며 올하트를 받았다. 박선주가 눈물을 흘리며 자신이 처음 음악을 시작하게 된 것이 김광석이었고 대학로에서 그를 처음 봤던 느낌이 들었다며 극찬했다. 이 무대로 1위를 차지하며 다음 라운드에 진출했다.

예선2차는 박장현, 권민제와 무명부로 한 팀을 이루었다. 예선에서 1위를 차지하며 큰 혜택을 누렸다.[1] 그러나 이내 컨디션이 악화되면서 목소리가 잘 안 나오는 위기에 봉착하게 되는데 본선에서 실수 없이 올하트로 무대를 마쳐 팀을 다음 라운드로 이끌었다.",
박창근 국민가수 본선,"본선 1차전 결과는 중간 순위 2위였다가 실시간 문자 투표에서 득표수 1위를 차지해 문자 투표 점수 1300점을 가져가면서 결승 1차전을 1위로 마쳤다.
본선 2차전결과는 모두의 예상을 깨고 자신의 자작곡인 '엄마'를 결승 2차전 경연곡으로 선택했다.[2] 조금 생소한 곡이었던 만큼 중간 순위에서 4위에 랭크되었지만 최종 순위에서 큰 비중을 차지하는 실시간 문자 투표에서 가장 높은 득표율을 기록하며 1대 국민가수의 자리에 등극했다.",
박창근 우승소감,"제가 이 나이 먹도록 참 변변치 않아요. 제 자존심 하나로, 음악 하나로 살면서 주변을 힘들게 했어요. 하지만 엄마는 늘 힘들지 않아 보였어요. 저한테 늘 응원해 주시는 모습에 방송 첫 회 딱 한 번 나가서 많은 국민들이 보시는 큰 방송에서 얼굴 한번 보여 드리는 생일 선물을 해 드리고 싶었는데 너무 많이 온 것 같아요. 저에게 표를 주신 국민들, 팬분들, 오늘 무대 보고 주신 거 같지 않아요. 앞으로 정성껏 노래로 위로해 달라고 주신 것 같아요. 저는 최선을 다해 죽을 때까지, 노래해서, 올리겠습니다.",
